index,scenario_id,status,route_file,route_id,target,minimum_free_corridor_width,maximum_route_intrusion,required_lateral_deviation,closest_approach_distance
1,Generalization_PassableObstacles_1060_001_intrusion_sweep_v01,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v01.xml,106000101,0.4872,2.5115,0.4852,0.2586,0.0
2,Generalization_PassableObstacles_1060_001_intrusion_sweep_v02,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v02.xml,106000102,0.5049,2.4935,0.5032,0.2766,0.0
3,Generalization_PassableObstacles_1060_001_intrusion_sweep_v03,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v03.xml,106000103,0.5225,2.4765,0.5202,0.2936,0.0
4,Generalization_PassableObstacles_1060_001_intrusion_sweep_v04,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v04.xml,106000104,0.5402,2.4585,0.5382,0.3116,0.0
5,Generalization_PassableObstacles_1060_001_intrusion_sweep_v05,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v05.xml,106000105,0.5579,2.4405,0.5562,0.3296,0.0
6,Generalization_PassableObstacles_1060_001_intrusion_sweep_v06,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v06.xml,106000106,0.5756,2.4235,0.5732,0.3466,0.0
7,Generalization_PassableObstacles_1060_001_intrusion_sweep_v07,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v07.xml,106000107,0.5932,2.4055,0.5912,0.3646,0.0
8,Generalization_PassableObstacles_1060_001_intrusion_sweep_v08,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v08.xml,106000108,0.6109,2.3875,0.6092,0.3826,0.0
9,Generalization_PassableObstacles_1060_001_intrusion_sweep_v09,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v09.xml,106000109,0.6286,2.3705,0.6262,0.3996,0.0
10,Generalization_PassableObstacles_1060_001_intrusion_sweep_v10,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v10.xml,106000110,0.6463,2.3525,0.6442,0.4176,0.0
11,Generalization_PassableObstacles_1060_001_intrusion_sweep_v11,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v11.xml,106000111,0.6639,2.3345,0.6622,0.4356,0.0
12,Generalization_PassableObstacles_1060_001_intrusion_sweep_v12,accepted,Generalization_PassableObstacles_1060_001_intrusion_sweep_v12.xml,106000112,0.6816,2.3175,0.6792,0.4526,0.0
