index,scenario_id,status,assigned_family,route_file,route_id,target,minimum_free_corridor_width,maximum_route_intrusion,required_lateral_deviation,closest_approach_distance
1,Generalization_PassableObstacles_1060_002_corridor_pincer_v01,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v01.xml,106000201,2.3177,2.3173,0.3716,0.6611,0.0
2,Generalization_PassableObstacles_1060_002_corridor_pincer_v02,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v02.xml,106000202,2.4001,2.3999,0.3716,0.5785,0.0
3,Generalization_PassableObstacles_1060_002_corridor_pincer_v03,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v03.xml,106000203,2.4826,2.4823,0.3716,0.4961,0.0
4,Generalization_PassableObstacles_1060_002_corridor_pincer_v04,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v04.xml,106000204,2.565,2.5643,0.3716,0.4141,0.0
5,Generalization_PassableObstacles_1060_002_corridor_pincer_v05,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v05.xml,106000205,2.6475,2.6473,0.3716,0.3311,0.0
6,Generalization_PassableObstacles_1060_002_corridor_pincer_v06,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v06.xml,106000206,2.7299,2.7293,0.3716,0.2491,0.0
7,Generalization_PassableObstacles_1060_002_corridor_pincer_v07,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v07.xml,106000207,2.8124,2.8123,0.3716,0.1661,0.0639
8,Generalization_PassableObstacles_1060_002_corridor_pincer_v08,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v08.xml,106000208,2.8948,2.8943,0.3107,0.0841,0.1459
9,Generalization_PassableObstacles_1060_002_corridor_pincer_v09,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v09.xml,106000209,2.9773,2.9773,0.2277,0.0011,0.2289
10,Generalization_PassableObstacles_1060_002_corridor_pincer_v10,accepted,,Generalization_PassableObstacles_1060_002_corridor_pincer_v10.xml,106000210,3.0597,3.0593,0.1457,0.0,0.3109
