index,scenario_id,status,assigned_family,route_file,route_id,target,minimum_free_corridor_width,maximum_route_intrusion,required_lateral_deviation,closest_approach_distance
1,Generalization_CustomObstacles_1026_003_asset_swap_v01,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v01.xml,102600301,asset_barbeque_grill,8.0016,0.4984,0.0,0.3331
2,Generalization_CustomObstacles_1026_003_asset_swap_v02,refused,,,102600302,asset_barrel,8.0404,0.4596,0.0,0.3719
3,Generalization_CustomObstacles_1026_003_asset_swap_v03,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v03.xml,102600303,asset_cardboard_box,7.9999,0.5001,0.0,0.3315
4,Generalization_CustomObstacles_1026_003_asset_swap_v04,refused,,,102600304,asset_construction_cone,8.1564,0.3436,0.0,0.488
5,Generalization_CustomObstacles_1026_003_asset_swap_v05,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v05.xml,102600305,asset_dog_house,8.0004,0.4996,0.0,0.332
6,Generalization_CustomObstacles_1026_003_asset_swap_v06,refused,,,102600306,asset_garden_gnome,8.1242,0.3756,0.0,0.4557
7,Generalization_CustomObstacles_1026_003_asset_swap_v07,refused,,,102600307,asset_guitar_case,8.0001,0.4999,0.0,0.3317
8,Generalization_CustomObstacles_1026_003_asset_swap_v08,refused,,,102600308,asset_hay_bale,8.0001,0.4999,0.0,0.3317
9,Generalization_CustomObstacles_1026_003_asset_swap_v09,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v09.xml,102600309,asset_iron_plank,7.9999,0.5001,0.0,0.3315
10,Generalization_CustomObstacles_1026_003_asset_swap_v10,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v10.xml,102600310,asset_mailbox,8.0618,0.4382,0.0,0.3933
11,Generalization_CustomObstacles_1026_003_asset_swap_v11,refused,,,102600311,asset_mobile_food_cart,7.9995,0.5005,0.0,0.3311
12,Generalization_CustomObstacles_1026_003_asset_swap_v12,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v12.xml,102600312,asset_plastic_chair,8.0002,0.4998,0.0,0.3318
13,Generalization_CustomObstacles_1026_003_asset_swap_v13,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v13.xml,102600313,asset_plastic_table,7.9996,0.5004,0.0,0.3311
14,Generalization_CustomObstacles_1026_003_asset_swap_v14,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v14.xml,102600314,asset_playground_slide,7.9998,0.5002,0.0,0.3313
15,Generalization_CustomObstacles_1026_003_asset_swap_v15,refused,,,102600315,asset_shopping_cart,7.9999,0.5001,0.0,0.3315
16,Generalization_CustomObstacles_1026_003_asset_swap_v16,refused,,,102600316,asset_shopping_trolley,8.0003,0.4997,0.0,0.3318
17,Generalization_CustomObstacles_1026_003_asset_swap_v17,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v17.xml,102600317,asset_street_barrier,8.0,0.5,0.0,0.3316
18,Generalization_CustomObstacles_1026_003_asset_swap_v18,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v18.xml,102600318,asset_traffic_cone,8.0004,0.4996,0.0,0.332
19,Generalization_CustomObstacles_1026_003_asset_swap_v19,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v19.xml,102600319,asset_traffic_warning,7.9998,0.5002,0.0,0.3314
20,Generalization_CustomObstacles_1026_003_asset_swap_v20,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v20.xml,102600320,asset_trampoline,7.9993,0.5007,0.0,0.3309
21,Generalization_CustomObstacles_1026_003_asset_swap_v21,refused,,,102600321,asset_travel_suitcase,7.9997,0.5003,0.0,0.3313
22,Generalization_CustomObstacles_1026_003_asset_swap_v22,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v22.xml,102600322,asset_vending_machine,8.0004,0.4996,0.0,0.332
23,Generalization_CustomObstacles_1026_003_asset_swap_v23,accepted,,Generalization_CustomObstacles_1026_003_asset_swap_v23.xml,102600323,asset_waste_bin,7.9999,0.5001,0.0,0.3316
