index,scenario_id,status,route_file,route_id,target,minimum_free_corridor_width,maximum_route_intrusion,required_lateral_deviation,closest_approach_distance
1,Generalization_PassableObstacles_1061_004_threshold_sweep_v01,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v01.xml,106100401,0.0,0.0005,1.3756,,0.0
2,Generalization_PassableObstacles_1061_004_threshold_sweep_v02,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v02.xml,106100402,0.9183,0.9186,0.9166,,0.0
3,Generalization_PassableObstacles_1061_004_threshold_sweep_v03,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v03.xml,106100403,1.8367,1.8367,0.4576,,0.0
4,Generalization_PassableObstacles_1061_004_threshold_sweep_v04,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v04.xml,106100404,2.0738,2.0727,0.3395,,0.1171
5,Generalization_PassableObstacles_1061_004_threshold_sweep_v05,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v05.xml,106100405,2.311,2.3107,0.2205,0.0,0.2361
6,Generalization_PassableObstacles_1061_004_threshold_sweep_v06,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v06.xml,106100406,2.5481,2.5487,0.1015,0.0,0.3551
7,Generalization_PassableObstacles_1061_004_threshold_sweep_v07,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v07.xml,106100407,2.7853,2.7847,-0.0165,0.0,0.4731
8,Generalization_PassableObstacles_1061_004_threshold_sweep_v08,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v08.xml,106100408,3.0224,3.0228,-0.1355,0.0,0.5921
9,Generalization_PassableObstacles_1061_004_threshold_sweep_v09,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v09.xml,106100409,3.2596,3.2588,-0.2535,0.0,0.7101
10,Generalization_PassableObstacles_1061_004_threshold_sweep_v10,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v10.xml,106100410,3.4967,3.4968,-0.3725,0.0,0.8292
11,Generalization_PassableObstacles_1061_004_threshold_sweep_v11,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v11.xml,106100411,3.5708,3.5708,-0.4095,0.0,0.8662
12,Generalization_PassableObstacles_1061_004_threshold_sweep_v12,accepted,Generalization_PassableObstacles_1061_004_threshold_sweep_v12.xml,106100412,3.6448,3.6448,-0.4465,0.0,0.9032
